"ID","NAME","SIDE","LOCKED","PTS","EQUIPMENT","CATEGORY(s)","30 Seconds","60 Seconds","ANATOMY LISTING CODE","SOUND30","SOUND60","VIDEO","CATEGORY_L","CATEGORY_O","CATEGORY_M","CATEGORY_T","CATEGORY_BUR","CATEGORY_TDR","X2"
"108","Dumbbell Dragon Thrusts","1","FREE","4","Dumbbell","L","4","NA","L","EN108_DumbbellDragonThrusts30","EN108_DumbbellDragonThrusts60","108","1","0","0","0","0","0",""
"109","Dumbbell Scissor Carries","1","FREE","3","Dumbbell","L, BUR, O","3","4","BUR","EN109_DumbbellScissorCarries30","EN109_DumbbellScissorCarries60","109","1","1","0","0","1","0",""
"110","Dumbbell Russian Twists","1","FREE","2","Dumbbell","TDR, O, M","2","3","TDR","EN110_DumbbellRussianTwists30","EN110_DumbbellRussianTwists60","110","0","1","1","0","0","1",""
"111","Dumbbell Russian Presses","1","FREE","2","Dumbbell","T, TDR, O, M","2","3","TDR","EN111_DumbbellRussianPresses30","EN111_DumbbellRussianPresses60","111","0","1","1","1","0","1",""
"112","Dumbbell Plank Heaves","1","FREE","2","Dumbbell","M","2","3","M","EN112_DumbbellPlankHeaves30","EN112_DumbbellPlankHeaves60","112","0","0","1","0","0","0",""
"113","Dumbbell Levitation Crunches","1","FREE","1","Dumbbell","T","1","2","T","EN113_DumbbellLevitationCrunches30","EN113_DumbbellLevitationCrunches60","113","0","0","0","1","0","0",""
"114","Dumbbell Knee Tucks","1","FREE","2","Dumbbell","M","2","3","M","EN114_DumbbellKneeTucks30","EN114_DumbbellKneeTucks60","114","0","0","1","0","0","0",""
"115","Dumbbell V Ups","1","FREE","3","Dumbbell","M","3","4","M","EN115_DumbbellVUps30","EN115_DumbbellVUps60","115","0","0","1","0","0","0",""
"116","Dumbbell 90/90 Crunches","1","FREE","1","Dumbbell","T,M","1","2","T","EN116_Dumbbell9090Crunches30","EN116_Dumbbell9090Crunches60","116","0","0","1","1","0","0",""
"117","Dumbbell Hollow Rocks","1","FREE","1","Dumbbell","M","1","2","M","EN117_DumbbellHollowRocks30","EN117_DumbbellHollowRocks60","117","0","0","1","0","0","0",""
"118","Dumbbell Sunrise/Sunset","1","FREE","3","Dumbbell","TDR, O, M","3","4","TDR","EN118_DumbbellSunriseSunset30","EN118_DumbbellSunriseSunset60","118","0","1","1","0","0","1",""
"119","Dumbbell Plank Reachouts","1","FREE","2","Dumbbell","M","2","3","M","EN119_DumbbellPlankReachouts30","EN119_DumbbellPlankReachouts60","119","0","0","1","0","0","0",""
"120","Side Plank Statue of Liberty","2","FREE","2","Dumbbell","O, BUR","2","3","O","EN120_SidePlankStatueofLiberty30","EN120_SidePlankStatueofLiberty60","120","0","1","0","0","1","0","ss"
